,csp,tsLR,fgmdm,mdm
1,0.9083333333333334,0.9550000000000001,0.9133333333333333,0.9383333333333332
2,0.8400000000000001,0.9266666666666665,0.8566666666666667,0.8566666666666667
3,0.4033333333333333,0.49333333333333335,0.44666666666666666,0.5133333333333333
4,0.78,0.7883333333333333,0.7016666666666667,0.8383333333333333
5,0.6216666666666667,0.735,0.72,0.7849999999999999
6,0.7066666666666667,0.7150000000000001,0.6483333333333333,0.5816666666666667
7,0.8666666666666668,0.95,0.8833333333333334,0.8883333333333333
8,0.9166666666666667,0.9416666666666668,0.9166666666666667,0.8916666666666668
9,0.52,0.4683333333333334,0.5016666666666667,0.49000000000000005
10,0.705,0.6566666666666666,0.5866666666666667,0.5900000000000001
11,0.6133333333333334,0.505,0.4766666666666667,0.53
12,0.8516666666666666,0.9633333333333333,0.8400000000000001,0.8300000000000001
13,0.85,0.7683333333333333,0.7683333333333333,0.7733333333333333
14,0.6366666666666667,0.765,0.6083333333333334,0.7
15,0.95,0.8333333333333334,0.755,0.8583333333333334
16,0.6166666666666667,0.5083333333333333,0.6266666666666667,0.5616666666666668
17,0.5033333333333333,0.6783333333333333,0.6416666666666666,0.5216666666666667
18,0.5516666666666666,0.5700000000000001,0.5733333333333334,0.5066666666666666
19,0.735,0.705,0.7133333333333333,0.7466666666666667
20,0.7216666666666667,0.7216666666666667,0.61,0.6183333333333334
21,0.5233333333333333,0.6266666666666667,0.6616666666666667,0.5349999999999999
22,0.645,0.7983333333333333,0.6833333333333333,0.8183333333333334
23,0.6066666666666667,0.7266666666666667,0.6599999999999999,0.7466666666666667
24,0.6683333333333333,0.6583333333333334,0.6883333333333332,0.5349999999999999
25,0.8683333333333334,0.7933333333333333,0.7316666666666667,0.8016666666666665
26,0.6900000000000001,0.63,0.625,0.525
27,0.6433333333333333,0.6383333333333334,0.655,0.5883333333333333
28,0.33166666666666667,0.5066666666666666,0.54,0.47833333333333333
29,0.9583333333333334,0.9333333333333333,0.9416666666666668,0.9333333333333333
30,0.5766666666666667,0.655,0.6066666666666667,0.7066666666666667
31,0.8133333333333332,0.8683333333333334,0.8133333333333332,0.7566666666666666
32,0.5516666666666666,0.655,0.6033333333333333,0.4883333333333333
33,0.755,0.8216666666666667,0.825,0.7716666666666667
34,0.85,0.875,0.8583333333333334,0.875
35,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9349999999999999
36,0.6633333333333333,0.7633333333333334,0.6799999999999999,0.6966666666666667
37,0.6183333333333334,0.5266666666666666,0.44000000000000006,0.5233333333333333
38,0.515,0.6383333333333333,0.6516666666666666,0.585
39,0.485,0.42666666666666664,0.385,0.5349999999999999
40,0.29166666666666663,0.5566666666666666,0.6316666666666666,0.5733333333333334
41,0.6433333333333333,0.465,0.43166666666666664,0.5650000000000001
42,0.9550000000000001,1.0,0.9800000000000001,0.9400000000000001
43,0.8716666666666667,0.6683333333333333,0.605,0.6966666666666667
